(-160.0, -2176.0, 176.0)
(-160.0, -2176.0, 160.0)
(-160.0, -1920.0, 160.0)
(-160.0, -1920.0, 176.0)
(-160.0, -2176.0, 176.0)
(448.0, -2176.0, 176.0)
(448.0, -2176.0, 160.0)
(-160.0, -2176.0, 160.0)
(-160.0, -1920.0, 176.0)
(-160.0, -1920.0, 160.0)
(448.0, -1920.0, 160.0)
(448.0, -1920.0, 176.0)
(-160.0, -2176.0, 176.0)
(-160.0, -1920.0, 176.0)
(448.0, -1920.0, 176.0)
(448.0, -2176.0, 176.0)
(-160.0, -2176.0, 160.0)
(448.0, -2176.0, 160.0)
(448.0, -1920.0, 160.0)
(-160.0, -1920.0, 160.0)
(448.0, -2176.0, 176.0)
(448.0, -1920.0, 176.0)
(448.0, -1920.0, 160.0)
(448.0, -2176.0, 160.0)
(480.0, -2176.0, 176.0)
(480.0, -2176.0, 160.0)
(448.0, -2176.0, 160.0)
(448.0, -2176.0, 176.0)
(480.0, -2176.0, 176.0)
(480.0, -2048.0, 176.0)
(480.0, -2048.0, 160.0)
(480.0, -2176.0, 160.0)
(480.0, -2176.0, 176.0)
(448.0, -2176.0, 176.0)
(448.0, -2048.0, 176.0)
(480.0, -2048.0, 176.0)
(480.0, -2176.0, 160.0)
(480.0, -2048.0, 160.0)
(448.0, -2048.0, 160.0)
(448.0, -2176.0, 160.0)
(448.0, -2176.0, 176.0)
(448.0, -2176.0, 160.0)
(448.0, -2048.0, 160.0)
(448.0, -2048.0, 176.0)
(480.0, -2048.0, 176.0)
(448.0, -2048.0, 176.0)
(448.0, -2048.0, 160.0)
(480.0, -2048.0, 160.0)
(-128.0, -2176.0, 560.0)
(-128.0, -2176.0, 160.0)
(-128.0, -2144.0, 160.0)
(-128.0, -2144.0, 560.0)
(-128.0, -2176.0, 560.0)
(448.0, -2176.0, 560.0)
(448.0, -2176.0, 160.0)
(-128.0, -2176.0, 160.0)
(448.0, -2176.0, 560.0)
(448.0, -2144.0, 560.0)
(448.0, -2144.0, 160.0)
(448.0, -2176.0, 160.0)
(-128.0, -2144.0, 560.0)
(-128.0, -2144.0, 160.0)
(448.0, -2144.0, 160.0)
(448.0, -2144.0, 560.0)
(-128.0, -2176.0, 560.0)
(-128.0, -2144.0, 560.0)
(448.0, -2144.0, 560.0)
(448.0, -2176.0, 560.0)
(-128.0, -2176.0, 160.0)
(448.0, -2176.0, 160.0)
(448.0, -2144.0, 160.0)
(-128.0, -2144.0, 160.0)
(-128.0, -1824.0, 560.0)
(-128.0, -1824.0, 160.0)
(-128.0, -1792.0, 160.0)
(-128.0, -1792.0, 560.0)
(-128.0, -1824.0, 560.0)
(128.0, -1824.0, 560.0)
(128.0, -1824.0, 160.0)
(-128.0, -1824.0, 160.0)
(128.0, -1824.0, 560.0)
(128.0, -1792.0, 560.0)
(128.0, -1792.0, 160.0)
(128.0, -1824.0, 160.0)
(-128.0, -1792.0, 560.0)
(-128.0, -1792.0, 160.0)
(128.0, -1792.0, 160.0)
(128.0, -1792.0, 560.0)
(-128.0, -1824.0, 560.0)
(-128.0, -1792.0, 560.0)
(128.0, -1792.0, 560.0)
(128.0, -1824.0, 560.0)
(-128.0, -1824.0, 160.0)
(128.0, -1824.0, 160.0)
(128.0, -1792.0, 160.0)
(-128.0, -1792.0, 160.0)
(448.0, -1792.0, 560.0)
(448.0, -1920.0, 560.0)
(448.0, -1920.0, 160.0)
(448.0, -1792.0, 160.0)
(480.0, -1792.0, 560.0)
(480.0, -1792.0, 160.0)
(480.0, -1920.0, 160.0)
(480.0, -1920.0, 560.0)
(448.0, -1792.0, 560.0)
(448.0, -1792.0, 160.0)
(480.0, -1792.0, 160.0)
(480.0, -1792.0, 560.0)
(448.0, -1792.0, 560.0)
(480.0, -1792.0, 560.0)
(480.0, -1920.0, 560.0)
(448.0, -1920.0, 560.0)
(448.0, -1792.0, 160.0)
(448.0, -1920.0, 160.0)
(480.0, -1920.0, 160.0)
(480.0, -1792.0, 160.0)
(448.0, -1920.0, 560.0)
(480.0, -1920.0, 560.0)
(480.0, -1920.0, 160.0)
(448.0, -1920.0, 160.0)
(448.0, -2176.0, 560.0)
